bin_id,dataset_id,exposure_id,t_setting,s_eV2,beta_open_channel,channel_open,analyzer_projector,observed_count,calibration_id,response_kernel_version,quality_mask
BIN-0001-0009-04,SIM-0001,EXP-0001-0009,0.031974946748,0.000403197494675,0.089052476711,1,A,4,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0009-05,SIM-0001,EXP-0001-0009,0.031974946748,0.000403197494675,0.089052476711,1,R,6,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0009-06,SIM-0001,EXP-0001-0009,0.031974946748,0.000403197494675,0.089052476711,1,L,4,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0010-01,SIM-0001,EXP-0001-0010,0.0411512173129,0.000404115121731,0.10091106566,1,H,5,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0010-02,SIM-0001,EXP-0001-0010,0.0411512173129,0.000404115121731,0.10091106566,1,V,2,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0010-03,SIM-0001,EXP-0001-0010,0.0411512173129,0.000404115121731,0.10091106566,1,D,0,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0010-04,SIM-0001,EXP-0001-0010,0.0411512173129,0.000404115121731,0.10091106566,1,A,0,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0010-05,SIM-0001,EXP-0001-0010,0.0411512173129,0.000404115121731,0.10091106566,1,R,3,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0010-06,SIM-0001,EXP-0001-0010,0.0411512173129,0.000404115121731,0.10091106566,1,L,4,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0011-01,SIM-0001,EXP-0001-0011,0.0529609228025,0.00040529609228,0.114311931675,1,H,8,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0011-02,SIM-0001,EXP-0001-0011,0.0529609228025,0.00040529609228,0.114311931675,1,V,3,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0011-03,SIM-0001,EXP-0001-0011,0.0529609228025,0.00040529609228,0.114311931675,1,D,1,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0011-04,SIM-0001,EXP-0001-0011,0.0529609228025,0.00040529609228,0.114311931675,1,A,2,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0011-05,SIM-0001,EXP-0001-0011,0.0529609228025,0.00040529609228,0.114311931675,1,R,2,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0011-06,SIM-0001,EXP-0001-0011,0.0529609228025,0.00040529609228,0.114311931675,1,L,3,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0012-01,SIM-0001,EXP-0001-0012,0.0681598146359,0.000406815981464,0.129439014455,1,H,5,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0012-02,SIM-0001,EXP-0001-0012,0.0681598146359,0.000406815981464,0.129439014455,1,V,2,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0012-03,SIM-0001,EXP-0001-0012,0.0681598146359,0.000406815981464,0.129439014455,1,D,4,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0012-04,SIM-0001,EXP-0001-0012,0.0681598146359,0.000406815981464,0.129439014455,1,A,6,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0012-05,SIM-0001,EXP-0001-0012,0.0681598146359,0.000406815981464,0.129439014455,1,R,6,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0012-06,SIM-0001,EXP-0001-0012,0.0681598146359,0.000406815981464,0.129439014455,1,L,3,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0013-01,SIM-0001,EXP-0001-0013,0.0877205321464,0.000408772053215,0.14649069201,1,H,6,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0013-02,SIM-0001,EXP-0001-0013,0.0877205321464,0.000408772053215,0.14649069201,1,V,7,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0013-03,SIM-0001,EXP-0001-0013,0.0877205321464,0.000408772053215,0.14649069201,1,D,5,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0013-04,SIM-0001,EXP-0001-0013,0.0877205321464,0.000408772053215,0.14649069201,1,A,4,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0013-05,SIM-0001,EXP-0001-0013,0.0877205321464,0.000408772053215,0.14649069201,1,R,9,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0013-06,SIM-0001,EXP-0001-0013,0.0877205321464,0.000408772053215,0.14649069201,1,L,3,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0014-01,SIM-0001,EXP-0001-0014,0.112894845756,0.000411289484576,0.165677393802,1,H,6,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0014-02,SIM-0001,EXP-0001-0014,0.112894845756,0.000411289484576,0.165677393802,1,V,1,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0014-03,SIM-0001,EXP-0001-0014,0.112894845756,0.000411289484576,0.165677393802,1,D,7,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0014-04,SIM-0001,EXP-0001-0014,0.112894845756,0.000411289484576,0.165677393802,1,A,4,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0014-05,SIM-0001,EXP-0001-0014,0.112894845756,0.000411289484576,0.165677393802,1,R,3,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0014-06,SIM-0001,EXP-0001-0014,0.112894845756,0.000411289484576,0.165677393802,1,L,4,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0015-01,SIM-0001,EXP-0001-0015,0.145293762889,0.000414529376289,0.187217236026,1,H,7,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0015-02,SIM-0001,EXP-0001-0015,0.145293762889,0.000414529376289,0.187217236026,1,V,7,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0015-03,SIM-0001,EXP-0001-0015,0.145293762889,0.000414529376289,0.187217236026,1,D,5,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0015-04,SIM-0001,EXP-0001-0015,0.145293762889,0.000414529376289,0.187217236026,1,A,10,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0015-05,SIM-0001,EXP-0001-0015,0.145293762889,0.000414529376289,0.187217236026,1,R,4,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0015-06,SIM-0001,EXP-0001-0015,0.145293762889,0.000414529376289,0.187217236026,1,L,6,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0016-01,SIM-0001,EXP-0001-0016,0.186990622939,0.000418699062294,0.211328913434,1,H,8,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0016-02,SIM-0001,EXP-0001-0016,0.186990622939,0.000418699062294,0.211328913434,1,V,2,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0016-03,SIM-0001,EXP-0001-0016,0.186990622939,0.000418699062294,0.211328913434,1,D,10,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0016-04,SIM-0001,EXP-0001-0016,0.186990622939,0.000418699062294,0.211328913434,1,A,11,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0016-05,SIM-0001,EXP-0001-0016,0.186990622939,0.000418699062294,0.211328913434,1,R,13,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0016-06,SIM-0001,EXP-0001-0016,0.186990622939,0.000418699062294,0.211328913434,1,L,9,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0017-01,SIM-0001,EXP-0001-0017,0.240653778744,0.000424065377874,0.238220940195,1,H,7,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0017-02,SIM-0001,EXP-0001-0017,0.240653778744,0.000424065377874,0.238220940195,1,V,10,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0017-03,SIM-0001,EXP-0001-0017,0.240653778744,0.000424065377874,0.238220940195,1,D,12,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0017-04,SIM-0001,EXP-0001-0017,0.240653778744,0.000424065377874,0.238220940195,1,A,2,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0017-05,SIM-0001,EXP-0001-0017,0.240653778744,0.000424065377874,0.238220940195,1,R,6,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0017-06,SIM-0001,EXP-0001-0017,0.240653778744,0.000424065377874,0.238220940195,1,L,2,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0018-01,SIM-0001,EXP-0001-0018,0.309717355413,0.000430971735541,0.268076272882,1,H,7,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0018-02,SIM-0001,EXP-0001-0018,0.309717355413,0.000430971735541,0.268076272882,1,V,8,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0018-03,SIM-0001,EXP-0001-0018,0.309717355413,0.000430971735541,0.268076272882,1,D,3,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0018-04,SIM-0001,EXP-0001-0018,0.309717355413,0.000430971735541,0.268076272882,1,A,7,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0018-05,SIM-0001,EXP-0001-0018,0.309717355413,0.000430971735541,0.268076272882,1,R,14,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0018-06,SIM-0001,EXP-0001-0018,0.309717355413,0.000430971735541,0.268076272882,1,L,11,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0019-01,SIM-0001,EXP-0001-0019,0.398601014057,0.000439860101406,0.301031480571,1,H,13,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0019-02,SIM-0001,EXP-0001-0019,0.398601014057,0.000439860101406,0.301031480571,1,V,7,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0019-03,SIM-0001,EXP-0001-0019,0.398601014057,0.000439860101406,0.301031480571,1,D,6,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0019-04,SIM-0001,EXP-0001-0019,0.398601014057,0.000439860101406,0.301031480571,1,A,8,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0019-05,SIM-0001,EXP-0001-0019,0.398601014057,0.000439860101406,0.301031480571,1,R,3,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0019-06,SIM-0001,EXP-0001-0019,0.398601014057,0.000439860101406,0.301031480571,1,L,10,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0020-01,SIM-0001,EXP-0001-0020,0.512992784003,0.0004512992784,0.337150112189,1,H,13,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0020-02,SIM-0001,EXP-0001-0020,0.512992784003,0.0004512992784,0.337150112189,1,V,10,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0020-03,SIM-0001,EXP-0001-0020,0.512992784003,0.0004512992784,0.337150112189,1,D,19,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0020-04,SIM-0001,EXP-0001-0020,0.512992784003,0.0004512992784,0.337150112189,1,A,13,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0020-05,SIM-0001,EXP-0001-0020,0.512992784003,0.0004512992784,0.337150112189,1,R,10,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0020-06,SIM-0001,EXP-0001-0020,0.512992784003,0.0004512992784,0.337150112189,1,L,13,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0021-01,SIM-0001,EXP-0001-0021,0.660213063084,0.000466021306308,0.376390947793,1,H,9,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0021-02,SIM-0001,EXP-0001-0021,0.660213063084,0.000466021306308,0.376390947793,1,V,7,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0021-03,SIM-0001,EXP-0001-0021,0.660213063084,0.000466021306308,0.376390947793,1,D,8,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0021-04,SIM-0001,EXP-0001-0021,0.660213063084,0.000466021306308,0.376390947793,1,A,11,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0021-05,SIM-0001,EXP-0001-0021,0.660213063084,0.000466021306308,0.376390947793,1,R,11,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0021-06,SIM-0001,EXP-0001-0021,0.660213063084,0.000466021306308,0.376390947793,1,L,14,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0022-01,SIM-0001,EXP-0001-0022,0.849683079879,0.000484968307988,0.418573573205,1,H,13,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0022-02,SIM-0001,EXP-0001-0022,0.849683079879,0.000484968307988,0.418573573205,1,V,12,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0022-03,SIM-0001,EXP-0001-0022,0.849683079879,0.000484968307988,0.418573573205,1,D,16,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0022-04,SIM-0001,EXP-0001-0022,0.849683079879,0.000484968307988,0.418573573205,1,A,20,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0022-05,SIM-0001,EXP-0001-0022,0.849683079879,0.000484968307988,0.418573573205,1,R,20,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0022-06,SIM-0001,EXP-0001-0022,0.849683079879,0.000484968307988,0.418573573205,1,L,8,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0023-01,SIM-0001,EXP-0001-0023,1.09352779671,0.000509352779671,0.463346165408,1,H,18,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0023-02,SIM-0001,EXP-0001-0023,1.09352779671,0.000509352779671,0.463346165408,1,V,14,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0023-03,SIM-0001,EXP-0001-0023,1.09352779671,0.000509352779671,0.463346165408,1,D,20,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0023-04,SIM-0001,EXP-0001-0023,1.09352779671,0.000509352779671,0.463346165408,1,A,11,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0023-05,SIM-0001,EXP-0001-0023,1.09352779671,0.000509352779671,0.463346165408,1,R,19,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0023-06,SIM-0001,EXP-0001-0023,1.09352779671,0.000509352779671,0.463346165408,1,L,8,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0024-01,SIM-0001,EXP-0001-0024,1.40735183563,0.000540735183563,0.510163082142,1,H,21,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0024-02,SIM-0001,EXP-0001-0024,1.40735183563,0.000540735183563,0.510163082142,1,V,17,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0024-03,SIM-0001,EXP-0001-0024,1.40735183563,0.000540735183563,0.510163082142,1,D,20,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0024-04,SIM-0001,EXP-0001-0024,1.40735183563,0.000540735183563,0.510163082142,1,A,14,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0024-05,SIM-0001,EXP-0001-0024,1.40735183563,0.000540735183563,0.510163082142,1,R,23,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0024-06,SIM-0001,EXP-0001-0024,1.40735183563,0.000540735183563,0.510163082142,1,L,13,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0025-01,SIM-0001,EXP-0001-0025,1.81123808212,0.000581123808212,0.558281756408,1,H,28,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0025-02,SIM-0001,EXP-0001-0025,1.81123808212,0.000581123808212,0.558281756408,1,V,19,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0025-03,SIM-0001,EXP-0001-0025,1.81123808212,0.000581123808212,0.558281756408,1,D,18,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0025-04,SIM-0001,EXP-0001-0025,1.81123808212,0.000581123808212,0.558281756408,1,A,25,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0025-05,SIM-0001,EXP-0001-0025,1.81123808212,0.000581123808212,0.558281756408,1,R,19,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0025-06,SIM-0001,EXP-0001-0025,1.81123808212,0.000581123808212,0.558281756408,1,L,30,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0026-01,SIM-0001,EXP-0001-0026,2.33103287115,0.000633103287115,0.606787903885,1,H,28,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0026-02,SIM-0001,EXP-0001-0026,2.33103287115,0.000633103287115,0.606787903885,1,V,14,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0026-03,SIM-0001,EXP-0001-0026,2.33103287115,0.000633103287115,0.606787903885,1,D,24,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0026-04,SIM-0001,EXP-0001-0026,2.33103287115,0.000633103287115,0.606787903885,1,A,21,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0026-05,SIM-0001,EXP-0001-0026,2.33103287115,0.000633103287115,0.606787903885,1,R,24,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0026-06,SIM-0001,EXP-0001-0026,2.33103287115,0.000633103287115,0.606787903885,1,L,27,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0027-01,SIM-0001,EXP-0001-0027,3,0.0007,0.654653670708,1,H,27,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0027-02,SIM-0001,EXP-0001-0027,3,0.0007,0.654653670708,1,V,17,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0027-03,SIM-0001,EXP-0001-0027,3,0.0007,0.654653670708,1,D,31,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0027-04,SIM-0001,EXP-0001-0027,3,0.0007,0.654653670708,1,A,27,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0027-05,SIM-0001,EXP-0001-0027,3,0.0007,0.654653670708,1,R,31,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0027-06,SIM-0001,EXP-0001-0027,3,0.0007,0.654653670708,1,L,25,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0002-0001-01,SIM-0002,EXP-0002-0001,-0.6,0.00034,0,0,H,1,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0002-0001-02,SIM-0002,EXP-0002-0001,-0.6,0.00034,0,0,V,0,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0002-0001-03,SIM-0002,EXP-0002-0001,-0.6,0.00034,0,0,D,1,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0002-0001-04,SIM-0002,EXP-0002-0001,-0.6,0.00034,0,0,A,0,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0002-0001-05,SIM-0002,EXP-0002-0001,-0.6,0.00034,0,0,R,0,CAL-20260811-001,equal-diagonal-PL-v2,PASS
