event_id,dataset_id,tdc_time_ns,pulse_id,exposure_id,detector_id,basis,outcome,pulse_height_mV,time_over_threshold_ns,gate_code,veto_bits,calibration_id,clock_calibration_id,quality_mask
EVT-000000000011,SIM-0001,2026081133289000147,PULSE-EXP-0001-0012-00289,EXP-0001-0012,SNSPD-04,X,-,32.918212,8.442214,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000012,SIM-0001,2026081133432000055,PULSE-EXP-0001-0012-00432,EXP-0001-0012,SNSPD-01,Z,+,32.133382,7.310819,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000013,SIM-0001,2026081133614000173,PULSE-EXP-0001-0012-00614,EXP-0001-0012,SNSPD-05,Y,+,35.071947,8.267271,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000014,SIM-0001,2026081134580000050,PULSE-EXP-0001-0012-01580,EXP-0001-0012,SNSPD-01,Z,+,33.139316,8.508320,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000015,SIM-0001,2026081134790000130,PULSE-EXP-0001-0012-01790,EXP-0001-0012,SNSPD-05,Y,+,34.327972,7.821078,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000016,SIM-0001,2026081134821000095,PULSE-EXP-0001-0012-01821,EXP-0001-0012,SNSPD-06,Y,-,29.790662,7.806645,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000017,SIM-0001,2026081135212000064,PULSE-EXP-0001-0012-02212,EXP-0001-0012,SNSPD-03,X,+,31.409375,8.843304,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000018,SIM-0001,2026081135561000066,PULSE-EXP-0001-0012-02561,EXP-0001-0012,SNSPD-03,X,+,31.538673,7.906938,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000019,SIM-0001,2026081135817000101,PULSE-EXP-0001-0012-02817,EXP-0001-0012,SNSPD-05,Y,+,32.294389,8.089681,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000020,SIM-0001,2026081136477000068,PULSE-EXP-0001-0012-03477,EXP-0001-0012,SNSPD-05,Y,+,32.208666,7.656217,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000021,SIM-0001,2026081136891000139,PULSE-EXP-0001-0012-03891,EXP-0001-0012,SNSPD-03,X,+,31.383438,7.843113,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000022,SIM-0001,2026081137023000043,PULSE-EXP-0001-0012-04023,EXP-0001-0012,SNSPD-02,Z,-,31.718304,8.796557,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000023,SIM-0001,2026081137157000135,PULSE-EXP-0001-0012-04157,EXP-0001-0012,SNSPD-06,Y,-,35.543752,8.584030,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000024,SIM-0001,2026081137313000066,PULSE-EXP-0001-0012-04313,EXP-0001-0012,SNSPD-01,Z,+,34.628617,8.543897,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000025,SIM-0001,2026081137990000076,PULSE-EXP-0001-0012-04990,EXP-0001-0012,SNSPD-04,X,-,32.304457,7.688552,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000026,SIM-0001,2026081138024000164,PULSE-EXP-0001-0012-05024,EXP-0001-0012,SNSPD-01,Z,+,31.539285,7.480597,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000027,SIM-0001,2026081138509000031,PULSE-EXP-0001-0012-05509,EXP-0001-0012,SNSPD-04,X,-,31.706952,7.242800,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000028,SIM-0001,2026081138974000064,PULSE-EXP-0001-0012-05974,EXP-0001-0012,SNSPD-06,Y,-,30.528829,7.396578,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000029,SIM-0001,2026081139534000043,PULSE-EXP-0001-0012-06534,EXP-0001-0012,SNSPD-03,X,+,31.607418,8.864628,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000030,SIM-0001,2026081139750000187,PULSE-EXP-0001-0012-06750,EXP-0001-0012,SNSPD-04,X,-,29.988494,7.731532,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000031,SIM-0001,2026081140551000188,PULSE-EXP-0001-0012-07551,EXP-0001-0012,SNSPD-04,X,-,34.801651,8.272119,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000032,SIM-0001,2026081140640000187,PULSE-EXP-0001-0012-07640,EXP-0001-0012,SNSPD-04,X,-,32.184439,8.008891,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000033,SIM-0001,2026081140889000010,PULSE-EXP-0001-0012-07889,EXP-0001-0012,SNSPD-05,Y,+,31.126320,8.554219,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000034,SIM-0001,2026081142063000101,PULSE-EXP-0001-0012-09063,EXP-0001-0012,SNSPD-01,Z,+,32.189311,8.339885,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000035,SIM-0001,2026081142608000003,PULSE-EXP-0001-0012-09608,EXP-0001-0012,SNSPD-05,Y,+,33.272535,7.351873,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000036,SIM-0001,2026081144207000165,PULSE-EXP-0001-0009-00207,EXP-0001-0009,SNSPD-01,Z,+,32.035137,8.580130,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000037,SIM-0001,2026081144335000107,PULSE-EXP-0001-0009-00335,EXP-0001-0009,SNSPD-06,Y,-,31.888916,8.021484,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000038,SIM-0001,2026081144692000169,PULSE-EXP-0001-0009-00692,EXP-0001-0009,SNSPD-05,Y,+,30.330225,8.018520,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000039,SIM-0001,2026081146255000198,PULSE-EXP-0001-0009-02255,EXP-0001-0009,SNSPD-02,Z,-,30.415865,7.668542,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000040,SIM-0001,2026081146389000136,PULSE-EXP-0001-0009-02389,EXP-0001-0009,SNSPD-01,Z,+,34.209206,9.250645,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000041,SIM-0001,2026081146598000166,PULSE-EXP-0001-0009-02598,EXP-0001-0009,SNSPD-06,Y,-,33.251961,7.942444,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000042,SIM-0001,2026081146974000137,PULSE-EXP-0001-0009-02974,EXP-0001-0009,SNSPD-05,Y,+,29.756449,8.265877,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000043,SIM-0001,2026081147646000134,PULSE-EXP-0001-0009-03646,EXP-0001-0009,SNSPD-04,X,-,31.319930,8.213968,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000044,SIM-0001,2026081149314000128,PULSE-EXP-0001-0009-05314,EXP-0001-0009,SNSPD-06,Y,-,32.071799,8.604577,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000045,SIM-0001,2026081149333000097,PULSE-EXP-0001-0009-05333,EXP-0001-0009,SNSPD-05,Y,+,32.631229,8.052697,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000046,SIM-0001,2026081149525000107,PULSE-EXP-0001-0009-05525,EXP-0001-0009,SNSPD-02,Z,-,34.715175,7.761533,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000047,SIM-0001,2026081149654000015,PULSE-EXP-0001-0009-05654,EXP-0001-0009,SNSPD-04,X,-,34.415925,7.883212,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000048,SIM-0001,2026081149666000101,PULSE-EXP-0001-0009-05666,EXP-0001-0009,SNSPD-03,X,+,33.174490,7.299756,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000049,SIM-0001,2026081150613000054,PULSE-EXP-0001-0009-06613,EXP-0001-0009,SNSPD-05,Y,+,29.873750,7.849986,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000050,SIM-0001,2026081150619000083,PULSE-EXP-0001-0009-06619,EXP-0001-0009,SNSPD-04,X,-,34.832985,8.376961,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000051,SIM-0001,2026081150927000162,PULSE-EXP-0001-0009-06927,EXP-0001-0009,SNSPD-01,Z,+,33.698911,8.043040,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000052,SIM-0001,2026081150957000178,PULSE-EXP-0001-0009-06957,EXP-0001-0009,SNSPD-05,Y,+,31.167397,8.077844,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000053,SIM-0001,2026081151457000014,PULSE-EXP-0001-0009-07457,EXP-0001-0009,SNSPD-04,X,-,32.233624,7.980416,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000054,SIM-0001,2026081151883000177,PULSE-EXP-0001-0009-07883,EXP-0001-0009,SNSPD-06,Y,-,31.954895,8.158904,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000055,SIM-0001,2026081152382000066,PULSE-EXP-0001-0009-08382,EXP-0001-0009,SNSPD-03,X,+,28.827761,7.850373,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000056,SIM-0001,2026081153368000014,PULSE-EXP-0001-0009-09368,EXP-0001-0009,SNSPD-02,Z,-,33.178732,8.047352,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000057,SIM-0001,2026081153453000150,PULSE-EXP-0001-0009-09453,EXP-0001-0009,SNSPD-05,Y,+,33.451110,8.124335,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000058,SIM-0001,2026081153882000187,PULSE-EXP-0001-0009-09882,EXP-0001-0009,SNSPD-01,Z,+,30.229033,8.256127,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000059,SIM-0001,2026081155027000167,PULSE-EXP-0001-0025-00027,EXP-0001-0025,SNSPD-05,Y,+,32.475951,6.802063,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000060,SIM-0001,2026081155287000015,PULSE-EXP-0001-0025-00287,EXP-0001-0025,SNSPD-01,Z,+,33.516936,7.851352,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000061,SIM-0001,2026081155441000123,PULSE-EXP-0001-0025-00441,EXP-0001-0025,SNSPD-01,Z,+,30.204009,7.718978,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000062,SIM-0001,2026081155469000079,PULSE-EXP-0001-0025-00469,EXP-0001-0025,SNSPD-06,Y,-,30.299954,7.539238,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000063,SIM-0001,2026081155659000195,PULSE-EXP-0001-0025-00659,EXP-0001-0025,SNSPD-01,Z,+,31.374175,8.655281,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000064,SIM-0001,2026081155877000132,PULSE-EXP-0001-0025-00877,EXP-0001-0025,SNSPD-01,Z,+,30.948969,7.407330,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000065,SIM-0001,2026081155913000167,PULSE-EXP-0001-0025-00913,EXP-0001-0025,SNSPD-02,Z,-,31.149235,7.582270,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000066,SIM-0001,2026081155965000111,PULSE-EXP-0001-0025-00965,EXP-0001-0025,SNSPD-06,Y,-,32.853221,8.897305,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000067,SIM-0001,2026081156023000029,PULSE-EXP-0001-0025-01023,EXP-0001-0025,SNSPD-01,Z,+,31.931631,8.764340,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000068,SIM-0001,2026081156117000038,PULSE-EXP-0001-0025-01117,EXP-0001-0025,SNSPD-04,X,-,34.233430,8.017800,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000069,SIM-0001,2026081156150000085,PULSE-EXP-0001-0025-01150,EXP-0001-0025,SNSPD-01,Z,+,34.078856,7.481602,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000070,SIM-0001,2026081156253000177,PULSE-EXP-0001-0025-01253,EXP-0001-0025,SNSPD-03,X,+,29.668554,8.519946,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000071,SIM-0001,2026081156285000028,PULSE-EXP-0001-0025-01285,EXP-0001-0025,SNSPD-03,X,+,34.719868,7.730008,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000072,SIM-0001,2026081156298000019,PULSE-EXP-0001-0025-01298,EXP-0001-0025,SNSPD-05,Y,+,32.908587,7.460042,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000073,SIM-0001,2026081156681000095,PULSE-EXP-0001-0025-01681,EXP-0001-0025,SNSPD-01,Z,+,35.531098,7.884050,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000074,SIM-0001,2026081156691000054,PULSE-EXP-0001-0025-01691,EXP-0001-0025,SNSPD-05,Y,+,30.339172,8.774351,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000075,SIM-0001,2026081156830000109,PULSE-EXP-0001-0025-01830,EXP-0001-0025,SNSPD-04,X,-,31.891147,8.744961,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000076,SIM-0001,2026081156931000193,PULSE-EXP-0001-0025-01931,EXP-0001-0025,SNSPD-06,Y,-,28.021016,8.295902,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000077,SIM-0001,2026081157006000011,PULSE-EXP-0001-0025-02006,EXP-0001-0025,SNSPD-06,Y,-,31.559855,7.796481,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000078,SIM-0001,2026081157161000163,PULSE-EXP-0001-0025-02161,EXP-0001-0025,SNSPD-04,X,-,34.051328,7.733367,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000079,SIM-0001,2026081157261000182,PULSE-EXP-0001-0025-02261,EXP-0001-0025,SNSPD-02,Z,-,31.874589,8.755526,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000080,SIM-0001,2026081157332000138,PULSE-EXP-0001-0025-02332,EXP-0001-0025,SNSPD-05,Y,+,32.609861,8.590371,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000081,SIM-0001,2026081157353000104,PULSE-EXP-0001-0025-02353,EXP-0001-0025,SNSPD-01,Z,+,32.866503,8.431698,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000082,SIM-0001,2026081157369000126,PULSE-EXP-0001-0025-02369,EXP-0001-0025,SNSPD-04,X,-,31.122557,6.716439,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000083,SIM-0001,2026081157430000158,PULSE-EXP-0001-0025-02430,EXP-0001-0025,SNSPD-01,Z,+,31.131848,8.805368,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000084,SIM-0001,2026081157437000000,PULSE-EXP-0001-0025-02437,EXP-0001-0025,SNSPD-03,X,+,30.407586,7.288847,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000085,SIM-0001,2026081157503000031,PULSE-EXP-0001-0025-02503,EXP-0001-0025,SNSPD-03,X,+,28.956408,8.041166,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000086,SIM-0001,2026081157592000065,PULSE-EXP-0001-0025-02592,EXP-0001-0025,SNSPD-03,X,+,31.387210,7.378624,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000087,SIM-0001,2026081157668000176,PULSE-EXP-0001-0025-02668,EXP-0001-0025,SNSPD-04,X,-,28.902807,8.725399,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000088,SIM-0001,2026081157704000028,PULSE-EXP-0001-0025-02704,EXP-0001-0025,SNSPD-03,X,+,29.698960,8.627032,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000089,SIM-0001,2026081157762000084,PULSE-EXP-0001-0025-02762,EXP-0001-0025,SNSPD-04,X,-,33.018388,7.744997,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000090,SIM-0001,2026081157802000113,PULSE-EXP-0001-0025-02802,EXP-0001-0025,SNSPD-06,Y,-,34.678339,7.433564,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000091,SIM-0001,2026081157809000006,PULSE-EXP-0001-0025-02809,EXP-0001-0025,SNSPD-01,Z,+,33.141916,7.883606,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000092,SIM-0001,2026081157824000092,PULSE-EXP-0001-0025-02824,EXP-0001-0025,SNSPD-05,Y,+,29.989147,7.360397,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000093,SIM-0001,2026081157972000048,PULSE-EXP-0001-0025-02972,EXP-0001-0025,SNSPD-05,Y,+,27.174334,8.296341,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000094,SIM-0001,2026081158012000062,PULSE-EXP-0001-0025-03012,EXP-0001-0025,SNSPD-06,Y,-,31.942947,7.863887,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000095,SIM-0001,2026081158024000024,PULSE-EXP-0001-0025-03024,EXP-0001-0025,SNSPD-05,Y,+,30.725194,7.697409,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000096,SIM-0001,2026081158138000118,PULSE-EXP-0001-0025-03138,EXP-0001-0025,SNSPD-03,X,+,31.832221,8.250602,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000097,SIM-0001,2026081158298000109,PULSE-EXP-0001-0025-03298,EXP-0001-0025,SNSPD-05,Y,+,33.915460,6.912100,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000098,SIM-0001,2026081158359000023,PULSE-EXP-0001-0025-03359,EXP-0001-0025,SNSPD-03,X,+,33.290338,8.074522,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000099,SIM-0001,2026081158437000016,PULSE-EXP-0001-0025-03437,EXP-0001-0025,SNSPD-04,X,-,36.013309,8.892125,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000100,SIM-0001,2026081158437000059,PULSE-EXP-0001-0025-03437,EXP-0001-0025,SNSPD-06,Y,-,33.586699,7.608162,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000101,SIM-0001,2026081158486000095,PULSE-EXP-0001-0025-03486,EXP-0001-0025,SNSPD-03,X,+,30.056667,7.389556,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000102,SIM-0001,2026081158572000087,PULSE-EXP-0001-0025-03572,EXP-0001-0025,SNSPD-03,X,+,29.020497,8.740919,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000103,SIM-0001,2026081158602000136,PULSE-EXP-0001-0025-03602,EXP-0001-0025,SNSPD-05,Y,+,32.455227,7.973072,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000104,SIM-0001,2026081158610000192,PULSE-EXP-0001-0025-03610,EXP-0001-0025,SNSPD-04,X,-,32.402586,7.694283,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000105,SIM-0001,2026081158722000101,PULSE-EXP-0001-0025-03722,EXP-0001-0025,SNSPD-01,Z,+,33.526765,8.428601,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000106,SIM-0001,2026081158815000101,PULSE-EXP-0001-0025-03815,EXP-0001-0025,SNSPD-02,Z,-,32.263635,8.107656,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000107,SIM-0001,2026081158896000157,PULSE-EXP-0001-0025-03896,EXP-0001-0025,SNSPD-06,Y,-,33.561820,8.998785,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000108,SIM-0001,2026081158965000178,PULSE-EXP-0001-0025-03965,EXP-0001-0025,SNSPD-06,Y,-,32.092549,8.234100,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000109,SIM-0001,2026081159091000029,PULSE-EXP-0001-0025-04091,EXP-0001-0025,SNSPD-04,X,-,31.945239,7.525930,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000110,SIM-0001,2026081159092000193,PULSE-EXP-0001-0025-04092,EXP-0001-0025,SNSPD-02,Z,-,31.913949,8.113430,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000111,SIM-0001,2026081159181000065,PULSE-EXP-0001-0025-04181,EXP-0001-0025,SNSPD-02,Z,-,32.648619,8.282861,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000112,SIM-0001,2026081159212000047,PULSE-EXP-0001-0025-04212,EXP-0001-0025,SNSPD-04,X,-,29.968691,7.849301,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000113,SIM-0001,2026081159239000177,PULSE-EXP-0001-0025-04239,EXP-0001-0025,SNSPD-02,Z,-,31.847576,7.766989,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000114,SIM-0001,2026081159330000189,PULSE-EXP-0001-0025-04330,EXP-0001-0025,SNSPD-03,X,+,31.226898,7.952223,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000115,SIM-0001,2026081159370000063,PULSE-EXP-0001-0025-04370,EXP-0001-0025,SNSPD-02,Z,-,33.504865,8.068460,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000116,SIM-0001,2026081159439000004,PULSE-EXP-0001-0025-04439,EXP-0001-0025,SNSPD-02,Z,-,29.625195,8.881571,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000117,SIM-0001,2026081159533000147,PULSE-EXP-0001-0025-04533,EXP-0001-0025,SNSPD-05,Y,+,32.012999,8.699952,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000118,SIM-0001,2026081159608000103,PULSE-EXP-0001-0025-04608,EXP-0001-0025,SNSPD-01,Z,+,32.041563,7.562094,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000119,SIM-0001,2026081159640000165,PULSE-EXP-0001-0025-04640,EXP-0001-0025,SNSPD-06,Y,-,29.954378,8.449212,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000120,SIM-0001,2026081159711000127,PULSE-EXP-0001-0025-04711,EXP-0001-0025,SNSPD-02,Z,-,31.095135,7.204711,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000121,SIM-0001,2026081159726000115,PULSE-EXP-0001-0025-04726,EXP-0001-0025,SNSPD-04,X,-,32.252564,8.533542,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000122,SIM-0001,2026081159785000125,PULSE-EXP-0001-0025-04785,EXP-0001-0025,SNSPD-05,Y,+,30.733215,7.774004,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
